,price,amount
0,2670.1962,100456.59561
1,2667.3934,349330.54952
2,2670.2452,150931.52281999998
3,2671.039,125124.54940000002
4,2671.4996,158291.80334
5,2671.4996,118655.47254
6,2671.6171999999997,109045.59999999999
7,2671.6171999999997,182716.80736
8,2671.7348,182863.88950000002
9,2669.8140000000003,122593.50000000001
10,2667.2954,142566.93913
11,2664.8748,201429.18450000003
12,2664.5416,205055.50856000002
13,2665.4921999999997,119933.54955
14,2667.2072,114815.10504
15,2667.0406,108804.37059999998
16,2668.6674000000003,249348.84471
17,2669.52,226865.616
18,2668.9516,127782.86640000001
19,2669.9217999999996,155833.52758999998
20,2667.6482,104441.14912000002
21,2668.1284,117925.83012
22,2666.9622,129334.05974999999
23,2668.4616,266938.73928000004
24,2668.7262,105787.76193000001
25,2664.3064,295365.55124
26,2663.6498,131951.23147
27,2663.9046,174912.51969
28,2663.591,120358.97984999999
29,2662.9148,264894.80836
30,2662.2484,107750.42912
31,2662.2386,129420.11137
32,2661.5232,405290.23488
33,2661.6212,190604.66920000003
34,2661.4448,107440.89712000001
35,2661.6603999999998,149297.4206
36,2661.6898,216034.15141000002
37,2658.887,134900.53115
38,2659.2496,116803.4684
39,2659.8866,329299.38941999996
40,2659.4946,580608.3777300001
41,2659.965,136575.6315
42,2661.0332000000003,128454.58938000002
43,2657.1818,119735.86559999999
44,2657.2798000000003,227834.62775000004
45,2656.9074,151666.03446
46,2655.4276,116565.14278
47,2650.9588,101453.27530000001
48,2652.4974,162944.53926
49,2651.0568,102912.40187999999
50,2654.6240000000003,166702.2608
51,2652.174,164275.11630000002
52,2652.3896,2283875.2498399997
53,2653.5362,162279.98477
54,2651.7329999999997,131385.25259999998
55,2651.5566,201345.13872
56,2650.6059999999998,121649.29189999998
57,2651.3704,351712.4
58,2656.8878,109862.31053000002
59,2655.8098,134944.94795
60,2658.2009999999996,249111.408
61,2658.5342,107719.46531999999
62,2659.5044000000003,145740.84112000003
63,2659.7298,131952.45219
64,2659.6122,149936.99472
65,2659.8768,102527.39399999999
66,2659.8963999999996,121880.25289999999
67,2659.9454,143447.05550000002
68,2660.4157999999998,103224.13304
69,2660.0825999999997,120906.18290999999
70,2660.7,131682.93
71,2662.1014,125659.33536999999
72,2662.8266,181985.17792000002
73,2661.435,104531.93325
74,2661.5721999999996,100713.34886999999
75,2663.2774,329754.50657
76,2664.2574,165632.53275
77,2665.6,170261.12
78,2666.5505999999996,124253.09504999999
79,2666.5604,105220.2966
80,2664.62,154183.614
81,2664.7963999999997,143518.3204
82,2664.9826,165715.68842999998
83,2664.9924,113884.91502
84,2664.4338,260481.02967
85,2665.257,116825.28540000001
86,2664.9826,162615.60663
87,2664.9728,211802.79232
88,2665.6,546834.24
89,2666.1096,107670.02003999999
90,2667.1582000000003,133559.30766
91,2667.0602,132993.77332
92,2667.8148,120990.8457
93,2667.7167999999997,107446.37735999998
94,2665.453,114410.49024999999
95,2664.5121999999997,274034.20421
96,2664.5905999999995,134129.50907
97,2665.5705999999996,147131.33721
98,2665.3941999999997,101192.50674000001
99,2665.502,187567.0239
100,2664.0712,182347.51832
101,2663.6498,355135.1866
102,2665.4334,166731.01866
103,2663.934,100259.05890000002
104,2663.8556,260329.36583999998
105,2660.9744,191204.58704000004
106,2661.5526,188152.75772999998
107,2660.308,160378.568
108,2660.3766,221039.29008000004
109,2659.9944,414622.55568000005
110,2659.1516,281921.62458
111,2659.3671999999997,118719.03636
112,2659.23,192118.5135
113,2659.7592,290803.95791999996
114,2661.2978000000003,228113.95561000003
115,2664.2574,119130.36660000001
116,2664.277,109406.63195000001
117,2664.2672,279750.77463999996
118,2664.6101999999996,103185.6705
119,2663.1892,378789.74798
120,2663.6792,110643.25428
121,2663.2871999999998,600198.94692
122,2663.1205999999997,317669.52553
123,2663.6301999999996,110668.39882999999
124,2662.2974,337932.47222000005
125,2661.7682,326286.60779000004
126,2662.1405999999997,212006.90115
127,2662.2778000000003,178266.66481
128,2663.8948,104220.80666000002
129,2664.9924,150354.5202
130,2665.0512,164830.69728000002
131,2664.9826,103444.8348
132,2663.0422,208967.291
133,2663.8752,149051.97216
134,2663.9928,143572.90176
135,2664.0418,185248.76786
136,2664.6787999999997,106801.95774000001
137,2663.15,101601.89
138,2663.3851999999997,436466.32625999994
139,2663.444,183470.52460000003
140,2664.3162,109859.54421
141,2663.0618,125082.3823
142,2663.8066,331945.63857
143,2663.0029999999997,351948.45465
144,2665.6686,149998.26015000002
145,2665.7274,127696.50285
146,2665.9822,124281.01715
147,2669.422,101892.9273
148,2670.5,202423.90000000002
149,2671.6662,118087.64604
